window_diameter_mm,height_tolerance_um,flattening_minimum,outer_mean_absolute_relative_error,outer_rms_relative_error,outer_max_relative_error,outer_mean_contact_iou,outer_mean_contact_precision,outer_mean_contact_recall,outer_curvature_mean_relative_error,outer_binary_mean_relative_error,outer_mean_contact_overlap,outer_plane_floor_median_um,outer_plane_floor_p95_um,outer_plane_floor_mad_um,outer_plane_floor_face_count,above_numerical_floor
0.6,6.0,0.3500000000000001,0.156612621225453,0.16018890360336577,0.18482145504744488,0.8434710179946744,1.0,0.8434710179946744,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.40000000000000013,0.1691365984328386,0.17198225844450968,0.2002117157420396,0.8309458470549504,1.0,0.8309458470549504,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.45000000000000007,0.18770827411257238,0.18962089790253636,0.21931242896776396,0.8123724412533259,1.0,0.8123724412533259,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.5000000000000001,0.20661985957568713,0.2077631843203209,0.22882907172314892,0.793458987183585,1.0,0.793458987183585,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.5500000000000002,0.2143248280172611,0.21491562109497186,0.23472096636008652,0.785753395140107,1.0,0.785753395140107,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.6000000000000002,0.22576246656697746,0.22652963213792343,0.24688630910907594,0.7743145362542926,1.0,0.7743145362542926,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.6500000000000001,0.24165118897145413,0.2423836865105676,0.26227008310007777,0.7584241829086783,1.0,0.7584241829086783,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.7000000000000002,0.26139408143266657,0.26163836213909586,0.27472433370457056,0.7386794620256961,1.0,0.7386794620256961,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.7500000000000002,0.28261651582950825,0.28285449052460515,0.29529393989777364,0.7174548743421115,1.0,0.7174548743421115,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.8000000000000002,0.31580049815306677,0.3160982822924311,0.33843124995665635,0.6842675310018619,1.0,0.6842675310018616,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.8500000000000002,0.3587917301751551,0.35921273367082135,0.38380087485426223,0.6412718985972603,1.0,0.6412718985972603,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.9000000000000002,0.4010948863080417,0.40215009714841177,0.4394744974288128,0.5989644890006964,1.0,0.5989644890006964,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.0,0.9500000000000003,0.5030933350327709,0.5075436698041154,0.5744448600065688,0.4969549341620713,1.0,0.4969549341620713,0.21051774885691213,0.1255558929053561,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.1,0.0896588333826566,0.09628120699622113,0.126242551249111,0.9099099493914272,0.9997153936917511,0.9101626892922867,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.15000000000000002,0.1008446343065266,0.10643559585505785,0.13333865757075855,0.8992445226318536,1.0,0.8992445226318536,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.20000000000000004,0.11442905964996605,0.1190823089853766,0.1523249506873109,0.8856587496893326,1.0,0.8856587496893326,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.25000000000000006,0.13005011320994925,0.1340208064959528,0.16173383663475632,0.8700361579089894,1.0,0.8700361579089894,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.30000000000000004,0.14218059733764016,0.1459760603237294,0.17465825259012627,0.8579044748786021,1.0,0.8579044748786021,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.3500000000000001,0.156612621225453,0.16018890360336577,0.18482145504744488,0.8434710179946744,1.0,0.8434710179946744,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.40000000000000013,0.1691365984328386,0.17198225844450968,0.2002117157420396,0.8309458470549504,1.0,0.8309458470549504,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.45000000000000007,0.18770827411257238,0.18962089790253636,0.21931242896776396,0.8123724412533259,1.0,0.8123724412533259,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.5000000000000001,0.20661985957568713,0.2077631843203209,0.22882907172314892,0.793458987183585,1.0,0.793458987183585,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.5500000000000002,0.2143248280172611,0.21491562109497186,0.23472096636008652,0.785753395140107,1.0,0.785753395140107,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.6000000000000002,0.22576246656697746,0.22652963213792343,0.24688630910907594,0.7743145362542926,1.0,0.7743145362542926,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.6500000000000001,0.24165118897145413,0.2423836865105676,0.26227008310007777,0.7584241829086783,1.0,0.7584241829086783,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.7000000000000002,0.26139408143266657,0.26163836213909586,0.27472433370457056,0.7386794620256961,1.0,0.7386794620256961,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.7500000000000002,0.28261651582950825,0.28285449052460515,0.29529393989777364,0.7174548743421115,1.0,0.7174548743421115,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.8000000000000002,0.31580049815306677,0.3160982822924311,0.33843124995665635,0.6842675310018619,1.0,0.6842675310018616,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.8500000000000002,0.3587917301751551,0.35921273367082135,0.38380087485426223,0.6412718985972603,1.0,0.6412718985972603,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.9000000000000002,0.4010948863080417,0.40215009714841177,0.4394744974288128,0.5989644890006964,1.0,0.5989644890006964,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,6.5,0.9500000000000003,0.5030933350327709,0.5075436698041154,0.5744448600065688,0.4969549341620713,1.0,0.4969549341620713,0.21051774885691213,0.11152566115476467,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.1,0.0896588333826566,0.09628120699622113,0.126242551249111,0.9099099493914272,0.9997153936917511,0.9101626892922867,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.15000000000000002,0.1008446343065266,0.10643559585505785,0.13333865757075855,0.8992445226318536,1.0,0.8992445226318536,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.20000000000000004,0.11442905964996605,0.1190823089853766,0.1523249506873109,0.8856587496893326,1.0,0.8856587496893326,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.25000000000000006,0.13005011320994925,0.1340208064959528,0.16173383663475632,0.8700361579089894,1.0,0.8700361579089894,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.30000000000000004,0.14218059733764016,0.1459760603237294,0.17465825259012627,0.8579044748786021,1.0,0.8579044748786021,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.3500000000000001,0.156612621225453,0.16018890360336577,0.18482145504744488,0.8434710179946744,1.0,0.8434710179946744,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.40000000000000013,0.1691365984328386,0.17198225844450968,0.2002117157420396,0.8309458470549504,1.0,0.8309458470549504,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.45000000000000007,0.18770827411257238,0.18962089790253636,0.21931242896776396,0.8123724412533259,1.0,0.8123724412533259,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.5000000000000001,0.20661985957568713,0.2077631843203209,0.22882907172314892,0.793458987183585,1.0,0.793458987183585,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.5500000000000002,0.2143248280172611,0.21491562109497186,0.23472096636008652,0.785753395140107,1.0,0.785753395140107,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.6000000000000002,0.22576246656697746,0.22652963213792343,0.24688630910907594,0.7743145362542926,1.0,0.7743145362542926,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.6500000000000001,0.24165118897145413,0.2423836865105676,0.26227008310007777,0.7584241829086783,1.0,0.7584241829086783,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.7000000000000002,0.26139408143266657,0.26163836213909586,0.27472433370457056,0.7386794620256961,1.0,0.7386794620256961,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.7500000000000002,0.28261651582950825,0.28285449052460515,0.29529393989777364,0.7174548743421115,1.0,0.7174548743421115,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.8000000000000002,0.31580049815306677,0.3160982822924311,0.33843124995665635,0.6842675310018619,1.0,0.6842675310018616,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.8500000000000002,0.3587917301751551,0.35921273367082135,0.38380087485426223,0.6412718985972603,1.0,0.6412718985972603,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.9000000000000002,0.4010948863080417,0.40215009714841177,0.4394744974288128,0.5989644890006964,1.0,0.5989644890006964,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.0,0.9500000000000003,0.5030933350327709,0.5075436698041154,0.5744448600065688,0.4969549341620713,1.0,0.4969549341620713,0.21051774885691213,0.09469243442631901,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.1,0.0896588333826566,0.09628120699622113,0.126242551249111,0.9099099493914272,0.9997153936917511,0.9101626892922867,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.15000000000000002,0.1008446343065266,0.10643559585505785,0.13333865757075855,0.8992445226318536,1.0,0.8992445226318536,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.20000000000000004,0.11442905964996605,0.1190823089853766,0.1523249506873109,0.8856587496893326,1.0,0.8856587496893326,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.25000000000000006,0.13005011320994925,0.1340208064959528,0.16173383663475632,0.8700361579089894,1.0,0.8700361579089894,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.30000000000000004,0.14218059733764016,0.1459760603237294,0.17465825259012627,0.8579044748786021,1.0,0.8579044748786021,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.3500000000000001,0.156612621225453,0.16018890360336577,0.18482145504744488,0.8434710179946744,1.0,0.8434710179946744,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.40000000000000013,0.1691365984328386,0.17198225844450968,0.2002117157420396,0.8309458470549504,1.0,0.8309458470549504,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.45000000000000007,0.18770827411257238,0.18962089790253636,0.21931242896776396,0.8123724412533259,1.0,0.8123724412533259,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.5000000000000001,0.20661985957568713,0.2077631843203209,0.22882907172314892,0.793458987183585,1.0,0.793458987183585,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.5500000000000002,0.2143248280172611,0.21491562109497186,0.23472096636008652,0.785753395140107,1.0,0.785753395140107,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.6000000000000002,0.22576246656697746,0.22652963213792343,0.24688630910907594,0.7743145362542926,1.0,0.7743145362542926,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.6500000000000001,0.24165118897145413,0.2423836865105676,0.26227008310007777,0.7584241829086783,1.0,0.7584241829086783,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.7000000000000002,0.26139408143266657,0.26163836213909586,0.27472433370457056,0.7386794620256961,1.0,0.7386794620256961,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.7500000000000002,0.28261651582950825,0.28285449052460515,0.29529393989777364,0.7174548743421115,1.0,0.7174548743421115,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.8000000000000002,0.31580049815306677,0.3160982822924311,0.33843124995665635,0.6842675310018619,1.0,0.6842675310018616,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.8500000000000002,0.3587917301751551,0.35921273367082135,0.38380087485426223,0.6412718985972603,1.0,0.6412718985972603,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.9000000000000002,0.4010948863080417,0.40215009714841177,0.4394744974288128,0.5989644890006964,1.0,0.5989644890006964,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,7.5,0.9500000000000003,0.5030933350327709,0.5075436698041154,0.5744448600065688,0.4969549341620713,1.0,0.4969549341620713,0.21051774885691213,0.07573499412560815,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
0.6,8.0,0.1,0.0896588333826566,0.09628120699622113,0.126242551249111,0.9099099493914272,0.9997153936917511,0.9101626892922867,0.21051774885691213,0.06941629934903133,0.9812244611442192,0.14725590666808913,1.3685239289661588,0.15187015785896502,2669,1
